cor;time;raccoons_bought
55.702368 37.736294;442283436;4
55.758772 37.648959;442094941;1
55.708663 37.576079;441970396;5
55.71057 37.577561;442118353;0
55.767777 37.603639;441970188;4
55.73477 37.614841;442151630;3
55.785665 37.48402;442138974;4
55.658743 37.541243;442227158;2
55.752095 37.66512;441958923;0
55.671158 37.755266;442002496;2
55.784708 37.628163;442356171;5
55.720697 37.672549;442347018;1
55.758407 37.736617;442359971;1
55.727531 37.616917;442109966;4
55.732996 37.698654;442271158;2
55.840093 37.48437;442180698;0
55.797113 37.610718;441789031;2
55.694743 37.794055;442293826;2
55.717538 37.446183;442063133;0
55.764642 37.677373;441882882;2
55.705184 37.569207;442139819;5
55.762718 37.679071;441780000;1
55.646828 37.508113;441927100;5
55.625984 37.619396;442328918;5
55.800954 37.539868;442254226;5
55.695403 37.567123;441925921;4
55.702987 37.53093;441816965;0
55.752121 37.648259;441933969;3
55.700923 37.542644;441908206;4
55.800064 37.700361;442215300;84
55.73256 37.567401;441880595;376
55.678148 37.584451;442111102;0
55.732611 37.566746;441850047;4
55.757982 37.715507;442118774;2
55.786733 37.626026;442313875;4
55.575907 37.677535;442366522;1
55.732996 37.698654;441986931;4
55.693977 37.562694;442186161;4
55.747044 37.591234;442107884;4
55.800215 37.53879;441811952;4
55.800393 37.792393;442179545;0
55.751427 37.648942;441913235;1
55.665919 37.439948;442078485;0
55.791228 37.46229;442032166;0
55.750864 37.654727;442285600;0
55.647945 37.670654;442192943;4
55.812231 37.482762;442083174;3
55.753534 37.698277;442342083;4
55.613346 37.612587;441920027;1
55.657499 37.645214;442318805;0
55.813374 37.478881;442202074;4
55.625984 37.619396;442287800;1
55.755794 37.589105;442165848;4
55.762667 37.664707;442102920;1
55.797113 37.610718;442160361;4
55.695266 37.568336;441927860;4
55.686376 37.614491;442341922;1
55.765377 37.581164;442141620;4
55.830624 37.59966;442306148;2
55.793526 37.461939;442085309;3
55.733609 37.591683;442223209;4
55.773702 37.59922;442325413;2
55.733619 37.661275;441993465;0
55.791025 37.464419;442128869;0
55.788722 37.741549;442278680;2
55.655097 37.533652;441852912;5
55.769854 37.590533;441864892;0
55.698767 37.579196;441998242;5
55.815989 37.570114;442247195;0
55.825391 37.423375;441869209;3
55.630345 37.614608;442063752;3
55.7567 37.674202;442051277;336
55.613346 37.612587;442186043;2
55.749785 37.763962;442323420;4
55.699578 37.571282;442172828;4
55.770841 37.589374;442174605;0
55.784835 37.631766;441818344;4
55.846775 37.522243;441990157;2
55.645563 37.506828;442207526;5
55.650383 37.537928;441906817;2
55.649423 37.672055;442212946;3
55.760464 37.608859;441811822;3
55.677661 37.586895;441932527;1
55.758407 37.736617;441978953;93
55.786298 37.572306;441852599;0
55.61601 37.623384;442269753;0
55.765853 37.633517;442304760;4
55.73477 37.614841;442355058;2
55.786764 37.653819;441965159;4
55.819287 37.604583;441981372;2
55.727531 37.616917;442190161;2
55.68461 37.341781;441770091;5
55.687035 37.552957;441788479;3
55.767311 37.613593;441964048;2
55.779059 37.736932;442287178;1
55.575907 37.677535;441846280;2
55.753575 37.605553;442251582;2
55.646863 37.508966;442078551;0
55.681767 37.516575;442143765;3
55.765974 37.684596;441936040;2
55.720773 37.777895;442254574;1
55.747368 37.719046;442004490;4
55.792179 37.462047;442325512;3
55.733406 37.570384;441924702;4
55.80655 37.504708;442212714;2
55.708663 37.576079;442007562;3
55.78978 37.732341;441800969;1
55.578788 37.673313;441783913;3
55.701029 37.576178;441790940;0
55.792635 37.462469;442073342;3
55.704874 37.585359;442176687;4
55.727531 37.616917;442041226;4
55.665584 37.543704;441870747;1
55.789806 37.480687;442015855;0
55.695758 37.565147;442161342;2
55.803408 37.461068;442083335;0
55.755738 37.378288;441923334;2
55.750591 37.769037;441869830;5
55.678148 37.584451;442169881;2
55.651145 37.538808;442162048;1
55.765974 37.684596;441827314;0
55.721539 37.672118;442273522;4
55.70386 37.524758;441948426;2
55.753311 37.580661;442129145;1
55.818144 37.706982;441908737;0
55.761036 37.638422;441991405;5
55.645812 37.507699;442284575;81
55.745245 37.670771;441883594;4
55.728358 37.63517;441935555;3
55.767099 37.678658;441969780;1
55.731506 37.574848;441951717;1
55.761852 37.709713;442298765;2
55.753443 37.636284;441992806;2
55.771591 37.665336;442060111;5
55.84302 37.524273;442043857;1
55.756457 37.610691;442138061;2
55.786455 37.576313;441892833;2
55.619284 37.609919;441990599;2
55.737451 37.635485;442182508;4
55.787396 37.499372;441961372;1
55.743355 37.665587;442203494;1
55.695266 37.568336;442196567;1
55.783342 37.602346;441949517;2
55.755738 37.378288;441968487;4
55.815848 37.527606;442326018;4
55.767777 37.603639;442177391;0
55.695403 37.567123;441805285;3
55.743588 37.710431;442063499;2
55.765853 37.633517;442024635;1
55.658743 37.541243;442291132;0
55.860282 37.658437;441876378;0
55.832894 37.4266;441968260;5
55.650048 37.671885;442326553;4
55.756791 37.648528;442321228;0
55.8023 37.459092;442156281;0
55.761036 37.638422;441964682;2
55.693977 37.562694;441958047;0
55.819287 37.604583;442198129;2
55.61601 37.623384;441882112;2
55.793809 37.461688;442173215;4
55.798854 37.450055;441856569;1
55.788829 37.508598;441825428;0
55.893657 37.520752;442351302;5
55.754704 37.713342;442163692;2
55.771347 37.591225;442069251;1
55.733401 37.652921;441769433;4
55.650734 37.538341;442302446;0
55.809378 37.51565;441834568;5
55.647534 37.509999;441809040;1
55.800954 37.539868;441812970;4
55.727531 37.616917;442203039;0
55.664568 37.618444;442302646;3
55.814108 37.717321;441835357;4
55.705458 37.550926;442293730;1
55.646863 37.508966;441900919;0
55.6942 37.565057;442183647;4
55.770841 37.589374;441985200;3
55.762667 37.635206;442103682;0
55.784708 37.628163;441922550;0
55.779555 37.523519;441917532;4
55.793303 37.694639;442092551;4
55.792741 37.654996;442302243;2
55.808002 37.635853;441919847;1
55.830624 37.677185;442054005;0
55.695641 37.560161;442028841;4
55.753534 37.698277;442039592;0
55.743512 37.705787;441955724;3
55.78403 37.610727;441765766;0
55.852435 37.536329;442287863;0
55.774775 37.54745;442118178;3
55.753463 37.608751;441987810;5
55.753691 37.708671;442345353;5
55.802047 37.780527;442059538;2
55.75357 37.610143;441778186;1
55.772102 37.650675;441946639;5
55.674813 37.567617;441802026;2
55.694718 37.536562;442034447;335
55.649703 37.671849;442356834;1
55.765377 37.581164;442280973;3
55.732839 37.622306;442302291;5
55.7567 37.674202;442329837;2
55.836833 37.551959;442083838;2
55.764131 37.631541;442202990;2
55.655097 37.533652;442011676;2
55.818002 37.461032;442224961;3
55.761852 37.709713;441823310;0
55.753691 37.708671;442063865;1
55.815306 37.512622;441841243;0
55.674813 37.567617;442264175;4
55.753443 37.636284;441947601;1
55.756624 37.623106;442004563;0
55.705346 37.518066;442344147;3
55.763554 37.616629;442270790;2
55.801081 37.760072;442187259;0
55.791754 37.465667;442117852;1
55.791025 37.464419;441996347;5
55.695865 37.572136;442120963;1
55.714171 37.590856;442207691;2
55.741247 37.625738;441903039;3
55.745245 37.670771;442113527;3
55.860282 37.658437;441852614;5
55.64824 37.668399;441785910;0
55.654762 37.639195;442063873;4
55.649703 37.671849;442270904;2
55.748665 37.695025;441999048;3
55.750444 37.645223;441788582;5
55.758407 37.736617;441815245;2
55.68461 37.341781;442102040;0
55.680037 37.757278;442251241;4
55.705468 37.648726;442270647;0
55.645796 37.508975;442348807;1
55.658556 37.637793;441768672;0
55.700217 37.529304;442223128;3
55.76998 37.592599;442353136;1
55.766557 37.648762;442202133;4
55.749785 37.763962;442103787;5
55.766557 37.648762;442159797;1
55.687188 37.551277;441877292;0
55.782537 37.604017;442091468;2
55.648748 37.668992;441795978;4
55.791309 37.763081;442053978;2
55.649926 37.670968;441875376;1
55.786678 37.62713;442124135;5
55.700334 37.571597;442211011;1
55.775348 37.54736;441820100;3
55.697919 37.535628;442262599;1
55.681514 37.544351;442147328;1
55.708699 37.567734;441910415;3
55.647153 37.509478;442013271;2
55.710296 37.592878;442315158;3
55.762718 37.679071;441821235;2
55.800393 37.792393;442214987;5
55.757121 37.378225;441774893;5
55.765691 37.651223;442017823;5
55.753316 37.704916;442024361;2
55.737785 37.644549;442069822;2
55.743634 37.610107;442146545;2
55.885807 37.556307;441835950;95
55.819287 37.604583;442295540;1
55.778568 37.736509;441818454;4
55.830624 37.59966;442347070;4
55.798212 37.529313;442327854;3
55.760201 37.712488;442174075;2
55.613346 37.612587;442215115;392
55.734187 37.569791;442110517;70
55.764577 37.710683;441919631;4
55.825532 37.503405;442334711;2
55.702165 37.561958;441817215;2
55.740517 37.528963;442310944;3
55.801364 37.477085;442326760;5
55.6657 37.488556;441860498;5
55.811143 37.804305;441949654;0
55.693145 37.546525;442089743;5
55.671331 37.445814;441931899;0
55.77633 37.738234;442156982;4
55.762667 37.664707;442019478;2
55.720697 37.672549;442366204;4
55.733406 37.570384;442350421;4
55.680037 37.757278;442026378;5
55.662136 37.547046;441983410;5
55.699188 37.619117;441846786;2
55.7931 37.462873;442273620;4
55.678549 37.583023;442283067;4
55.658743 37.541243;441863356;1
55.758772 37.648959;442205478;5
55.663365 37.562021;442069507;0
55.721508 37.775811;441958307;1
55.824309 37.429303;442361212;5
55.735789 37.582933;442278764;3
55.685792 37.616449;442362347;243
55.658743 37.541243;442345268;0
55.801607 37.462343;442332026;1
55.645492 37.508463;442174424;4
55.79349 37.460367;441771655;3
55.813374 37.478881;441914326;5
55.695758 37.565147;442022313;4
55.793267 37.464365;441911996;2
55.807041 37.660961;442332121;5
55.787573 37.624992;441984597;0
55.693038 37.579654;442284268;4
55.827257 37.413188;442010018;4
55.757024 37.750784;442361006;1
55.738571 37.618749;442129341;2
55.741247 37.625738;442178725;4
55.860943 37.486409;441813553;2
55.791228 37.46229;442057780;2
55.728145 37.452085;441806374;5
55.73404 37.432358;441796410;1
55.798318 37.451348;442160664;1
55.762227 37.590937;441865769;2
55.645862 37.508337;441851199;132
55.85869 37.640381;442325865;3
55.78403 37.610727;442338941;2
55.698279 37.531783;441893148;5
55.680037 37.757278;442278442;2
55.72126 37.741163;442082082;3
55.716336 37.521731;442215984;1
55.769854 37.590533;442342740;0
55.713136 37.862866;442326744;4
55.726462 37.648573;441936745;78
55.754633 37.646013;441797421;3
55.815306 37.512622;442075681;3
55.732611 37.566746;442063378;0
55.760201 37.712488;441982017;2
55.646863 37.508966;442137159;2
55.70455 37.56998;441929955;4
55.625984 37.619396;442288990;1
55.658743 37.541243;441973841;2
55.745245 37.670771;441989196;0
55.756016 37.536571;442296740;4
55.647945 37.670654;441828547;1
55.769135 37.63933;442210320;4
55.777803 37.669693;442340340;0
55.732611 37.566746;441976536;1
55.653878 37.528927;442187899;2
55.700162 37.569441;442068041;0
55.839117 37.5486;441799731;5
55.779059 37.736932;441965058;1
55.765691 37.651223;442088913;2
55.657499 37.645214;442238650;2
55.720509 37.593471;442163745;2
55.62945 37.621723;442327755;3
55.695758 37.565147;441818981;5
55.564246 37.599004;442148453;0
55.678148 37.584451;442106616;3
55.836833 37.551959;441824300;3
55.741612 37.577651;442253338;3
55.807015 37.622315;441893733;4
55.76212 37.485304;441875213;4
55.78973 37.508014;442138018;5
55.782744 37.60275;442100761;1
55.765974 37.684596;442358681;1
55.721305 37.770978;441902561;5
55.687188 37.551277;442112547;3
55.65146 37.542904;442272590;63
55.844106 37.571435;442090389;3
55.786065 37.742016;442283473;1
55.808756 37.533068;442017437;5
55.630345 37.614608;442039215;0
55.708699 37.567734;441949738;180
55.893657 37.520752;442052433;3
55.760464 37.608859;442022957;5
55.735251 37.569297;441919419;2
55.70494 37.569791;442147774;4
55.83028 37.404815;441896245;3
55.804091 37.783437;442199422;297
55.702165 37.561958;442322712;2
55.765691 37.651223;441836291;5
55.801501 37.457573;442082217;4
55.755662 37.702993;442302637;3
55.753311 37.580661;442129697;0
55.65592 37.618426;442358306;3
55.68461 37.341781;441939333;1
55.762277 37.568165;441985376;5
55.645796 37.508975;441997956;1
55.808002 37.635853;442143275;3
55.741394 37.729008;442139560;5
55.711655 37.581496;441865596;4
55.721305 37.770978;442164234;5
55.70494 37.569791;442314985;5
55.753311 37.580661;441882207;2
55.70386 37.524758;442200564;1
55.757024 37.750784;442328093;3
55.801607 37.462343;442363195;3
55.75517 37.715444;441826232;0
55.650764 37.539131;442161688;3
55.775925 37.594019;442241594;2
55.670153 37.582987;441842819;3
55.856851 37.506352;442127568;4
55.732327 37.582296;442004206;2
55.815989 37.570114;442113633;4
55.725463 37.615389;442081131;5
55.830761 37.677894;441959682;0
55.625984 37.619396;442081154;1
55.84302 37.524273;442285627;1
55.657667 37.467679;442187935;0
55.706239 37.521111;442303021;0
55.739149 37.623313;442270354;1
55.747601 37.590246;442165373;5
55.766557 37.648762;442133901;4
55.655097 37.533652;441814459;2
55.698041 37.582592;442344534;2
55.698767 37.579196;441879026;5
55.784708 37.628163;441909751;3
55.6657 37.488556;442269934;1
55.885807 37.556307;442072960;2
55.69449 37.567096;442036185;1
55.757237 37.654457;442054471;3
55.782744 37.60275;441793559;3
55.695758 37.565147;442226748;3
55.767798 37.649651;442285690;1
55.647163 37.669513;442059969;2
55.679433 37.566952;442154349;5
55.680133 37.571516;441798461;2
55.747044 37.591234;442193005;84
55.681767 37.516575;442147213;1
55.753316 37.704916;441851074;4
55.771332 37.465613;442314882;1
55.757982 37.715507;441843292;0
55.778568 37.736509;441934310;2
55.763386 37.554636;442249912;3
55.756189 37.61141;442323100;1
55.756189 37.61141;442341202;5
55.71625 37.694971;442128289;4
55.754877 37.611904;442189709;2
55.649703 37.671849;442010365;4
55.710296 37.592878;442051177;1
55.64634 37.507475;442275015;0
55.724961 37.784668;441797079;3
55.676712 37.568884;442043441;3
55.802133 37.486427;441913264;0
55.791349 37.590937;442314113;4
55.700968 37.53906;441885404;5
55.688969 37.572621;442259486;0
55.674702 37.561293;441766192;5
55.674813 37.567617;441880580;4
55.798971 37.806524;441848785;3
55.760464 37.608859;442323068;4
55.711655 37.581496;441860713;3
55.747024 37.665623;441949962;2
55.786657 37.61565;442209525;4
55.755414 37.738989;441956517;4
55.713045 37.591593;442146943;2
55.706315 37.603002;442287931;1
55.701633 37.576798;441991979;5
55.687299 37.551879;442362599;2
55.769135 37.63933;441995396;0
55.843469 37.537694;441889404;66
55.625984 37.619396;442314251;3
55.650764 37.539131;441896535;5
55.753443 37.636284;442028050;3
55.766147 37.615075;441949745;2
55.649723 37.536922;441947665;1
55.646472 37.509864;442242037;4
55.748665 37.695025;441827854;0
55.77032 37.661446;442210320;3
55.71625 37.694971;442189195;2
55.753691 37.708671;442238183;66
55.734501 37.580068;441915044;5
55.694769 37.564383;442160050;3
55.800949 37.45955;442137170;0
55.83028 37.404815;441884496;4
55.791025 37.464419;442086175;2
55.652781 37.53367;442266583;4
55.812231 37.482762;441895831;5
55.752724 37.652463;442174166;1
55.706315 37.603002;442202550;3
55.775925 37.594019;441985670;1
55.754704 37.713342;442131007;2
55.818877 37.618354;441818443;3
55.760104 37.647369;442353296;1
55.64727 37.671974;442272877;2
55.737806 37.593911;442059878;2
55.751918 37.64922;441995325;4
55.717726 37.686734;442180233;0
55.707491 37.60045;441795405;5
55.771591 37.692213;441795191;2
55.761664 37.616872;442156931;3
55.768907 37.674597;441982970;5
55.780355 37.55628;441989420;4
55.66369 37.544872;442157935;97
55.647823 37.671139;441948191;2
55.798971 37.806524;441801846;5
55.844106 37.571435;442085668;1
55.762753 37.794999;441975745;1
55.70494 37.569791;441933486;0
55.802513 37.460619;441883567;3
55.753691 37.708671;442312643;2
55.808108 37.520042;442030837;4
55.750864 37.654727;441909183;5
55.7216 37.675918;442080335;1
55.8023 37.459092;441948342;0
55.660663 37.521542;442263398;2
55.698954 37.566144;441804271;3
55.778568 37.736509;442273758;3
55.760104 37.647369;442323729;310
55.646899 37.479699;441837430;0
55.756791 37.648528;442014612;0
55.71234 37.589698;441810846;2
55.715302 37.696489;441808381;1
55.652781 37.53367;441967992;4
55.732839 37.622306;441782215;2
55.613346 37.612587;442215174;0
55.781534 37.714483;442244788;2
55.766557 37.648762;441937286;3
55.695758 37.565147;441999712;0
55.725022 37.479394;442306040;4
55.803631 37.552894;441904577;4
55.753691 37.708671;442005092;3
55.745032 37.602669;442360404;5
55.728145 37.452085;441990865;5
55.706528 37.518506;442186855;102
55.844753 37.500926;442018573;2
55.800954 37.539868;442343392;2
55.753691 37.708671;442044877;3
55.698767 37.579196;442166715;2
55.81781 37.706577;441882305;5
55.792741 37.654996;442130969;1
55.775996 37.505939;442085541;2
55.784091 37.72952;441974610;1
55.791228 37.46229;441972114;4
55.757024 37.750784;441785461;1
55.700217 37.529304;442054456;0
55.693038 37.579654;441899905;0
55.716336 37.521731;442174904;5
55.818877 37.618354;441987592;3
55.781119 37.516269;441882515;2
55.74673 37.592536;441812287;5
55.75357 37.610143;442259121;2
55.695626 37.535053;441983154;0
55.804091 37.783437;442069342;4
55.651338 37.541359;442207456;3
55.680037 37.757278;442251490;0
55.764349 37.793579;442361768;4
55.822979 37.526726;441786174;3
55.765954 37.652876;442029000;3
55.732276 37.57112;442305896;3
55.769347 37.567509;442074236;3
55.695403 37.567123;442159474;3
55.613346 37.612587;442139926;3
55.741612 37.577651;441830451;5
55.791709 37.651538;441917846;4
55.685792 37.616449;442221420;3
55.763386 37.554636;442252477;2
55.767767 37.646166;442294802;2
55.784708 37.628163;442224018;4
55.647275 37.508715;442049543;3
55.817588 37.789088;441849935;4
55.747044 37.591234;442337336;3
55.778067 37.730473;442299526;4
55.800949 37.45955;441899787;3
55.793526 37.461939;442128154;5
55.695865 37.572136;442010696;3
55.721539 37.672118;441916082;2
55.648748 37.668992;442271675;4
55.695865 37.572136;441924527;2
55.692044 37.555247;442271409;5
55.855558 37.408705;442280644;2
55.738495 37.620438;442042794;84
55.818144 37.706982;442124417;4
55.577327 37.554861;442053896;2
55.803722 37.647055;441877977;0
55.848069 37.379672;442262710;5
55.706528 37.518506;442173532;2
55.616961 37.614123;442195565;4
55.714171 37.590856;442010043;5
55.68534 37.55116;441850629;0
55.797959 37.452058;441800759;3
55.785665 37.629053;442125429;4
55.858923 37.684057;442129514;0
55.623402 37.668848;441934409;1
55.819287 37.604583;441914635;1
55.649865 37.672343;441956640;5
55.821821 37.570743;442253849;2
55.660084 37.520752;442275857;3
55.832894 37.4266;442107929;2
55.757237 37.654457;442024508;5
55.694718 37.536562;441943269;270
55.858205 37.43357;441777261;0
55.755348 37.759524;441776519;5
55.800974 37.46476;442034658;1
55.759101 37.598034;441795123;5
55.694769 37.564383;442281463;2
55.687188 37.551277;442059738;0
55.843469 37.537694;442086335;1
55.772664 37.624633;442097854;90
55.755794 37.589105;442007770;3
55.765974 37.684596;442202296;4
55.734187 37.569791;441775906;4
55.651338 37.541359;442035716;0
55.808569 37.704691;442011012;1
55.701029 37.576178;441942491;4
55.646899 37.479699;442132077;0
55.698482 37.572064;442154100;5
55.779788 37.586401;441815601;4
55.746056 37.593542;442143204;1
55.798743 37.44921;441983084;5
55.734952 37.578783;441949944;2
55.733619 37.661275;442129132;2
55.64727 37.671974;441995857;2
55.792635 37.462469;442260270;5
55.71057 37.577561;442164661;5
55.67292 37.625181;441936960;5
